"subplot_id","year","speriod","shrub_bio_ttl","shrub_1hr","shrub_10hr","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-GR-CC031","17","001",-8739,-2007,-2585,15,7.6,6.6,0.8,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC033","06","001",0,0,0,25.4,14.6,10.8,0,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC033","07","001",602,307,251,NA,NA,NA,NA,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC033","08","001",327,140,124,NA,NA,NA,NA,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC033","09","001",865,401,338,NA,NA,NA,NA,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC033","10","001",787,265,263,NA,NA,NA,NA,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC033","12","001",752,120,180,NA,NA,NA,NA,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC033","13","001",-1160,-149,-267,NA,NA,NA,NA,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC033","17","001",-139,-92,-53,29.9,16.6,13.3,0,"JP","GR","C","CP","033","CO","2"
"JP-GR-CC034","06","001",0,0,0,5.8,1.4,4.4,0,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC034","07","001",4689,1641,1599,NA,NA,NA,NA,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC034","08","001",7362,1768,2224,NA,NA,NA,NA,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC034","09","001",9248,3229,3402,NA,NA,NA,NA,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC034","10","001",7332,2066,2305,NA,NA,NA,NA,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC034","12","001",6380,1551,1832,NA,NA,NA,NA,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC034","13","001",-8185,-1938,-2250,NA,NA,NA,NA,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC034","17","001",7880,1704,2322,8.1,2.2,5.9,0,"JP","GR","C","CP","034","CO","1"
"JP-GR-CC038","06","001",0,0,0,7.9,4.2,3.7,0,"JP","GR","C","CP","038","CO","1"
"JP-GR-CC038","07","001",4001,1966,1605,NA,NA,NA,NA,"JP","GR","C","CP","038","CO","1"
"JP-GR-CC038","08","001",-2442,-879,-830,NA,NA,NA,NA,"JP","GR","C","CP","038","CO","1"
"JP-GR-CC038","09","001",-3312,-2653,-1656,NA,NA,NA,NA,"JP","GR","C","CP","038","CO","1"
"JP-GR-CC038","10","001",-4635,-1649,-1602,NA,NA,NA,NA,"JP","GR","C","CP","038","CO","1"
"JP-GR-CC038","12","001",-5124,-2257,-2050,NA,NA,NA,NA,"JP","GR","C","CP","038","CO","1"
"JP-GR-CC038","13","001",2965,653,716,NA,NA,NA,NA,"JP","GR","C","CP","038","CO","1"
"JP-GR-CC038","17","001",-3187,-1534,-1228,8.3,4.4,3.8,0.1,"JP","GR","C","CP","038","CO","1"
"JP-GR-GC001","06","001",0,0,0,33.9,17.8,16.1,0,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC001","07","001",253,83,82,NA,NA,NA,NA,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC001","08","001",59,24,16,NA,NA,NA,NA,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC001","09","001",221,109,83,NA,NA,NA,NA,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC001","10","001",207,121,80,NA,NA,NA,NA,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC001","12","001",-503,-201,-173,NA,NA,NA,NA,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC001","13","001",-204,-63,-54,NA,NA,NA,NA,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC001","17","001",-1033,-261,-339,2.6,2.2,0.4,0,"JP","GR","G","CP","001","BM","3"
"JP-GR-GC003","06","001",0,0,0,34.1,17.4,16.7,0,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC003","07","001",440,139,130,NA,NA,NA,NA,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC003","08","001",-153,-29,-25,NA,NA,NA,NA,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC003","09","001",264,131,72,NA,NA,NA,NA,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC003","10","001",231,119,23,NA,NA,NA,NA,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC003","12","001",313,171,45,NA,NA,NA,NA,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC003","13","001",-319,-144,-62,NA,NA,NA,NA,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC003","17","001",-330,-213,-54,2.3,2.3,0,0,"JP","GR","G","CP","003","BM","3"
"JP-GR-GC005","06","001",0,0,0,24.2,14.2,10,0,"JP","GR","G","CP","005","BM","3"
"JP-GR-GC005","07","001",1314,560,493,NA,NA,NA,NA,"JP","GR","G","CP","005","BM","3"
"JP-GR-GC005","08","001",1038,725,522,NA,NA,NA,NA,"JP","GR","G","CP","005","BM","3"
"JP-GR-GC005","09","001",1393,868,644,NA,NA,NA,NA,"JP","GR","G","CP","005","BM","3"
"JP-GR-GC005","10","001",1877,823,741,NA,NA,NA,NA,"JP","GR","G","CP","005","BM","3"
