site,subplot,sp_phase,yst,year,kgha_1h,kgha_10h,kgha_100h,kgha_1000h,kgha_100_1000h,1h,10h,100h,1000h,100h_1000h,duff_litter_load,trt,treatment,TC,TDC,tree_cvr_SS
GR,3,3,10,2017,2222.666667,8714.506667,2720.16,0,2720.16,416.75,1633.97,510.03,0,510.03,,Mastication,BM,33,0.33,
GR,5,3,10,2017,2287.52,5973.866667,2119.306667,0,2119.306667,428.91,1120.1,397.37,0,397.37,,Mastication,BM,23,0.23,
GR,29,3,10,2017,4361.333333,7641.813333,3473.76,0,3473.76,817.75,1432.84,651.33,0,651.33,,Mastication,BM,24,0.24,
ON,4,1,1,2007,5100.853333,3089.386667,0,0,0,5100.853333,3089.386667,NA,NA,0,,Mastication,BM,5,0.05,8.3
ON,5,1,1,2007,7418.88,2509.546667,1301.546667,0,1301.546667,7418.88,2509.546667,NA,NA,1301.546667,,Mastication,BM,3,0.03,5.3
ON,6,1,1,2007,1259.306667,1305.28,388.4266667,0,388.4266667,1259.306667,1305.28,NA,NA,388.4266667,,Mastication,BM,6,0.06,7.7
ON,12,1,1,2007,1220.266667,213.6,0,0,0,1220.266667,213.6,NA,NA,0,,Mastication,BM,11,0.11,11
ON,10,2,1,2007,6973.813333,3763.36,1288.106667,0,1288.106667,6973.813333,3763.36,NA,NA,1288.106667,,Mastication,BM,18,0.18,14.9
ON,13,2,1,2007,2197.386667,587.68,0,0,0,2197.386667,587.68,NA,NA,0,,Mastication,BM,11,0.11,6.6
ON,18,2,1,2007,10400.48,4931.946667,0,0,0,10400.48,4931.946667,NA,NA,0,,Mastication,BM,14,0.14,17.2
ON,22,2,1,2007,5251.573333,1530.453333,0,0,0,5251.573333,1530.453333,NA,NA,0,,Mastication,BM,12,0.12,11.2
ON,30,2,1,2007,2679.306667,2090.72,560.2666667,0,560.2666667,2679.306667,2090.72,NA,NA,560.2666667,,Mastication,BM,8,0.08,8.2
ON,31,2,1,2007,1514.933333,627.8933333,0,0,0,1514.933333,627.8933333,NA,NA,0,,Mastication,BM,8,0.08,7.6
ON,17,3,1,2007,16657.44,6349.493333,329.4933333,0,329.4933333,16657.44,6349.493333,NA,NA,329.4933333,,Mastication,BM,25,0.25,24.2
ON,19,3,1,2007,8316.266667,6180,726.24,0,726.24,8316.266667,6180,NA,NA,726.24,,Mastication,BM,18,0.18,19.8
ON,24,3,1,2007,7648.906667,3182.506667,935.1466667,0,935.1466667,7648.906667,3182.506667,NA,NA,935.1466667,,Mastication,BM,18,0.18,23.6
ON,26,3,1,2007,16399.41333,10911.57333,5288.586667,2482.453333,7771.04,16399.41333,10911.57333,NA,NA,7771.04,,Mastication,BM,32,0.32,36
ON,33,3,1,2007,19649.33333,9464.853333,2799.84,0,2799.84,19649.33333,9464.853333,NA,NA,2799.84,,Mastication,BM,26,0.26,30.7
ON,34,3,1,2007,11717.01333,6639.36,1307.413333,0,1307.413333,11717.01333,6639.36,NA,NA,1307.413333,,Mastication,BM,27,0.27,21.5
ON,4,1,6,2012,791.2533333,2072.48,NA,NA,82.51393105,791.2533333,2072.48,NA,NA,82.51393105,,Mastication,BM,5,0.05,8.3
